Agent Number	Agent Type	Birth	Parent1	Parent2	Death	Children	Sexual Pregnancies	Steps	Turns	Agent Bumps	Rock Bumps	PD Reward	PD Temptation	PD Sucker	PD Punishment	boundNorth	boundEast	boundSouth	boundWest	Energy Gained My Food	Energy Gained Other Food	Energy Gained Agents	Energy Lost Movement	Energy Lost Reproduction
0	1	0	-1	-1	788	7	3	253	363	173	0	0	0	0	0	46	59	59	0	8400	560	0	5202	3000
0	1	0	-1	-1	10	1	1	5	5	1	0	0	0	0	0	28	9	29	6	0	0	0	12	1000
0	1	0	-1	-1	24	1	1	9	14	2	0	0	0	0	0	47	28	48	21	0	0	0	207	1000
0	1	0	-1	-1	43	3	1	20	20	4	0	0	0	0	0	49	38	59	4	0	15	0	408	1000
0	1	0	-1	-1	24	2	1	10	13	2	0	0	0	0	0	19	50	22	46	0	10	0	227	1000
0	1	0	-1	-1	13	1	1	8	4	2	0	0	0	0	0	10	49	12	45	0	0	0	176	1000
0	1	0	-1	-1	81	2	1	31	48	3	0	0	0	0	0	54	40	58	24	0	0	0	705	1000
0	1	0	-1	-1	18	2	1	7	11	1	0	0	0	0	0	12	27	14	23	0	0	0	160	1000
0	1	0	-1	-1	13	1	1	9	4	1	0	0	0	0	0	7	26	8	18	0	0	0	195	1000
0	1	0	-1	-1	14	1	1	4	10	1	0	0	0	0	0	32	31	34	31	0	0	0	96	1000
0	1	0	-1	-1	21	2	1	5	14	3	0	0	0	0	0	26	9	28	8	0	5	0	25	1000
0	1	0	-1	-1	46	3	1	17	28	2	0	0	0	0	0	17	12	23	7	0	0	0	49	1000
0	1	0	-1	-1	800	6	0	218	428	155	0	0	0	0	0	0	59	23	0	4000	190	0	3336	0
0	1	0	-1	-1	14	1	1	4	9	2	0	0	0	0	0	34	14	34	12	0	0	0	17	1000
0	1	0	-1	-1	996	1	0	348	543	106	0	0	0	0	0	18	59	38	0	14200	685	0	6923	0
0	1	0	-1	-1	29	1	1	9	14	7	0	0	0	0	0	51	31	53	28	0	0	0	217	1000
0	1	0	-1	-1	23	1	1	4	6	14	0	0	0	0	0	9	11	10	10	0	0	0	38	1000
0	1	0	-1	-1	125	4	2	34	72	20	0	0	0	0	0	26	59	32	0	1200	5	0	206	2000
0	1	0	-1	-1	49	2	1	19	30	1	0	0	0	0	0	45	45	52	40	0	0	0	431	1000
0	1	0	-1	-1	33	3	1	12	18	4	0	0	0	0	0	13	44	16	38	200	5	0	278	1000
0	1	0	-1	-1	37	2	1	15	19	4	0	0	0	0	0	16	59	19	0	0	0	0	302	1000
0	1	0	-1	-1	49	1	1	18	30	2	0	0	0	0	0	38	47	41	37	0	35	0	412	1000
0	1	0	-1	-1	19	1	1	10	9	1	0	0	0	0	0	22	49	31	48	0	0	0	221	1000
0	1	0	-1	-1	72	3	1	23	38	12	0	0	0	0	0	1	48	8	42	400	20	0	545	1000
0	1	0	-1	-1	13	1	1	8	5	1	0	0	0	0	0	55	12	57	8	0	0	0	15	1000
