Agent Number	Agent Type	Birth	Parent1	Parent2	Death	Children	Sexual Pregnancies	Steps	Turns	Agent Bumps	Rock Bumps	PD Reward	PD Temptation	PD Sucker	PD Punishment	boundNorth	boundEast	boundSouth	boundWest	Energy Gained My Food	Energy Gained Other Food	Energy Gained Agents	Energy Lost Movement	Energy Lost Reproduction
0	1	0	-1	-1	20	3	1	5	2	14	0	0	0	0	0	32	1	36	1	0	0	0	35	1000
0	1	0	-1	-1	600	1	1	38	78	485	0	0	0	0	0	14	15	28	9	1800	5	0	1086	1000
0	1	0	-1	-1	892	4	0	100	265	528	0	0	0	0	0	33	59	59	0	4000	270	0	2341	0
0	1	0	-1	-1	145	2	1	9	25	112	0	0	0	0	0	30	7	33	5	0	5	0	258	1000
0	1	0	-1	-1	20	1	1	6	4	11	0	0	0	0	0	34	8	38	6	0	0	0	32	1000
0	1	0	-1	-1	14	2	1	4	6	5	0	0	0	0	0	1	10	3	9	0	0	0	20	1000
0	1	0	-1	-1	215	3	1	8	99	109	0	0	0	0	0	49	17	49	12	0	0	0	325	1000
0	1	0	-1	-1	22	1	1	3	1	19	0	0	0	0	0	20	23	22	22	0	0	0	102	1000
0	1	0	-1	-1	20	1	1	14	5	2	0	0	0	0	0	38	16	41	8	0	0	0	23	1000
0	1	0	-1	-1	36	1	1	14	13	10	0	0	0	0	0	25	57	29	52	0	0	0	327	1000
0	1	0	-1	-1	18	1	1	5	10	4	0	0	0	0	0	29	7	32	6	0	0	0	23	1000
0	1	0	-1	-1	89	1	1	5	12	73	0	0	0	0	0	56	30	59	0	0	5	0	183	1000
0	1	0	-1	-1	29	2	1	5	5	20	0	0	0	0	0	31	7	32	4	0	0	0	50	1000
0	1	0	-1	-1	58	4	2	16	36	7	0	0	0	0	0	50	17	57	12	600	5	0	66	2000
0	1	0	-1	-1	18	1	1	10	5	4	0	0	0	0	0	40	59	47	58	0	0	0	223	1000
0	1	0	-1	-1	11	1	1	5	2	5	0	0	0	0	0	42	38	47	38	0	0	0	117	1000
0	1	0	-1	-1	73	1	1	20	52	2	0	0	0	0	0	38	29	50	27	0	10	0	476	1000
0	1	0	-1	-1	29	2	1	16	12	2	0	0	0	0	0	8	41	18	40	200	10	0	352	1000
0	1	0	-1	-1	41	1	1	6	13	23	0	0	0	0	0	4	50	8	49	0	5	0	185	1000
0	1	0	-1	-1	15	2	1	11	2	3	0	0	0	0	0	29	4	39	3	0	0	0	19	1000
0	1	0	-1	-1	33	4	1	13	13	8	0	0	0	0	0	6	8	10	3	0	0	0	42	1000
0	1	0	-1	-1	55	1	1	22	18	16	0	0	0	0	0	46	29	54	24	0	40	0	512	1000
0	1	0	-1	-1	124	2	1	7	29	89	0	0	0	0	0	45	25	47	24	0	5	0	354	1000
0	1	0	-1	-1	22	2	1	11	5	7	0	0	0	0	0	41	58	51	57	0	0	0	250	1000
0	1	0	-1	-1	21	2	1	3	0	19	0	0	0	0	0	30	4	33	4	0	0	0	41	1000
0	1	0	-1	-1	11	1	1	9	2	1	0	0	0	0	0	36	19	44	19	0	0	0	193	1000
0	1	0	-1	-1	839	2	1	66	106	668	0	0	0	0	0	29	42	59	11	1400	3650	0	2808	1000
0	1	0	-1	-1	26	1	1	12	7	8	0	0	0	0	0	53	30	59	26	0	10	0	275	1000
0	1	0	-1	-1	484	1	0	72	180	233	0	0	0	0	0	0	49	26	18	1400	135	0	2158	0
0	1	0	-1	-1	24	1	1	10	12	3	0	0	0	0	0	7	37	8	30	0	0	0	228	1000
0	1	0	-1	-1	355	2	0	33	33	290	0	0	0	0	0	0	54	11	21	400	55	0	1306	0
0	1	0	-1	-1	86	4	1	21	32	34	0	0	0	0	0	39	59	46	0	200	0	0	201	1000
0	1	0	-1	-1	620	3	0	30	39	552	0	0	0	0	0	21	18	25	7	1000	5	0	1193	0
0	1	0	-1	-1	124	3	1	3	25	97	0	0	0	0	0	41	22	42	21	0	0	0	282	1000
0	1	0	-1	-1	141	2	1	14	15	113	0	0	0	0	0	41	17	43	7	0	0	0	255	1000
0	1	0	-1	-1	23	2	1	2	9	13	0	0	0	0	0	0	16	0	14	0	0	0	37	1000
0	1	0	-1	-1	347	2	1	6	4	338	0	0	0	0	0	0	47	3	17	0	0	0	766	1000
0	1	0	-1	-1	140	2	1	8	108	25	0	0	0	0	0	45	24	49	22	0	0	0	326	1000
0	1	0	-1	-1	680	3	1	47	129	505	0	0	0	0	0	28	22	43	14	2600	40	0	1566	1000
0	1	0	-1	-1	30	3	1	15	15	1	0	0	0	0	0	16	46	21	42	0	0	0	332	1000
0	1	0	-1	-1	24	2	1	16	8	1	0	0	0	0	0	1	31	8	23	0	0	0	346	1000
0	1	0	-1	-1	46	2	1	13	11	23	0	0	0	0	0	12	33	17	30	0	5	0	330	1000
0	1	0	-1	-1	984	3	0	238	291	456	0	0	0	0	0	13	41	51	10	4400	6980	0	5901	0
