Agent Number	Agent Type	Birth	Parent1	Parent2	Death	Children	Sexual Pregnancies	Steps	Turns	Agent Bumps	Rock Bumps	PD Reward	PD Temptation	PD Sucker	PD Punishment	boundNorth	boundEast	boundSouth	boundWest	Energy Gained My Food	Energy Gained Other Food	Energy Gained Agents	Energy Lost Movement	Energy Lost Reproduction
0	1	0	-1	-1	13	3	1	2	5	7	0	0	0	0	0	9	27	10	26	0	0	0	61	1000
0	1	0	-1	-1	33	1	1	14	16	4	0	0	0	0	0	13	28	20	25	0	5	0	318	1000
0	1	0	-1	-1	85	2	1	12	43	31	0	0	0	0	0	4	29	8	25	0	10	0	357	1000
0	1	0	-1	-1	19	2	1	9	5	6	0	0	0	0	0	31	40	35	36	0	5	0	206	1000
0	1	0	-1	-1	233	2	0	37	107	90	0	0	0	0	0	51	52	59	19	0	90	0	1064	0
0	1	0	-1	-1	16	3	1	7	7	3	0	0	0	0	0	0	34	2	2	0	0	0	120	1000
0	1	0	-1	-1	40	1	1	17	13	11	0	0	0	0	0	18	54	25	51	0	0	0	392	1000
0	1	0	-1	-1	75	1	1	17	57	2	0	0	0	0	0	13	43	15	38	400	15	0	418	1000
0	1	0	-1	-1	63	2	1	6	6	52	0	0	0	0	0	35	17	40	16	0	0	0	116	1000
0	1	0	-1	-1	32	2	1	11	8	14	0	0	0	0	0	3	46	13	45	0	0	0	267	1000
0	1	0	-1	-1	633	5	0	84	123	427	0	0	0	0	0	6	59	26	0	2000	60	0	2201	0
0	1	0	-1	-1	445	1	0	47	104	295	0	0	0	0	0	47	23	57	16	800	55	0	1561	0
0	1	0	-1	-1	38	3	1	9	22	8	0	0	0	0	0	49	33	53	32	0	0	0	227	1000
0	1	0	-1	-1	335	3	1	6	9	321	0	0	0	0	0	11	19	15	18	200	0	0	777	1000
0	1	0	-1	-1	187	3	0	50	86	52	0	0	0	0	0	16	32	35	25	200	40	0	1240	0
0	1	0	-1	-1	513	4	2	101	163	250	0	0	0	0	0	50	59	59	0	3200	125	0	1864	2000
0	1	0	-1	-1	888	4	2	96	210	583	0	0	0	0	0	41	42	59	7	5400	10	0	1512	2000
0	1	0	-1	-1	285	2	0	20	11	255	0	0	0	0	0	0	46	15	46	0	15	0	941	0
0	1	0	-1	-1	339	2	0	14	25	301	0	0	0	0	0	29	37	38	36	0	35	0	921	0
