Agent Number	Agent Type	Birth	Parent1	Parent2	Death	Children	Sexual Pregnancies	Steps	Turns	Agent Bumps	Rock Bumps	PD Reward	PD Temptation	PD Sucker	PD Punishment	boundNorth	boundEast	boundSouth	boundWest	Energy Gained My Food	Energy Gained Other Food	Energy Gained Agents	Energy Lost Movement	Energy Lost Reproduction
0	1	0	-1	-1	385	3	0	4	27	355	0	0	0	0	0	2	56	3	54	0	5	0	821	0
0	1	0	-1	-1	370	2	1	3	19	349	0	0	0	0	0	25	8	26	6	0	0	0	720	1000
0	1	0	-1	-1	25	1	1	7	17	2	0	0	0	0	0	51	13	54	11	0	0	0	28	1000
0	1	0	-1	-1	20	1	1	2	17	2	0	0	0	0	0	15	56	16	55	0	0	0	63	1000
0	1	0	-1	-1	12	1	1	7	4	2	0	0	0	0	0	44	39	49	38	0	0	0	155	1000
0	1	0	-1	-1	51	2	2	17	31	4	0	0	0	0	0	1	12	8	8	1000	10	0	56	2000
0	1	0	-1	-1	11	1	1	6	5	1	0	0	0	0	0	12	40	15	37	0	0	0	133	1000
0	1	0	-1	-1	15	1	1	5	9	2	0	0	0	0	0	31	40	36	40	0	0	0	118	1000
0	1	0	-1	-1	76	2	1	2	11	64	0	0	0	0	0	12	22	13	21	0	0	0	181	1000
0	1	0	-1	-1	308	0	0	27	20	262	0	0	0	0	0	46	37	53	26	200	10	0	1111	0
0	1	0	-1	-1	18	2	1	11	5	3	0	0	0	0	0	22	30	26	26	0	0	0	242	1000
0	1	0	-1	-1	186	2	1	6	8	173	0	0	0	0	0	39	44	43	44	0	0	0	480	1000
0	1	0	-1	-1	16	1	1	4	2	11	0	0	0	0	0	13	33	15	32	0	5	0	108	1000
0	1	0	-1	-1	235	3	1	22	80	134	0	0	0	0	0	41	59	45	0	400	0	0	370	1000
0	1	0	-1	-1	881	5	2	118	177	587	0	0	0	0	0	27	59	48	0	4400	1805	0	2469	2000
0	1	0	-1	-1	155	1	1	16	28	112	0	0	0	0	0	32	8	38	5	200	5	0	268	1000
0	1	0	-1	-1	31	2	1	10	19	3	0	0	0	0	0	45	46	54	45	0	15	0	235	1000
0	1	0	-1	-1	363	1	0	12	12	340	0	0	0	0	0	56	37	59	2	0	35	0	884	0
0	1	0	-1	-1	126	1	1	4	6	117	0	0	0	0	0	35	32	38	32	0	5	0	324	1000
0	1	0	-1	-1	308	2	1	11	8	290	0	0	0	0	0	15	22	17	17	0	0	0	799	1000
0	1	0	-1	-1	891	4	0	114	314	464	0	0	0	0	0	24	59	48	0	3800	60	0	1936	0
0	1	0	-1	-1	293	5	1	12	64	218	0	0	0	0	0	13	11	17	6	600	0	0	512	1000
0	1	0	-1	-1	10	1	1	5	5	1	0	0	0	0	0	40	37	43	35	0	5	0	112	1000
0	1	0	-1	-1	19	4	1	9	7	4	0	0	0	0	0	29	25	35	23	0	0	0	204	1000
0	1	0	-1	-1	22	1	1	7	1	15	0	0	0	0	0	7	35	9	30	0	5	0	178	1000
0	1	0	-1	-1	454	1	0	113	129	213	0	0	0	0	0	2	53	50	42	2000	245	0	2928	0
0	1	0	-1	-1	64	2	1	2	30	33	0	0	0	0	0	23	49	24	49	0	0	0	138	1000
0	1	0	-1	-1	66	2	1	3	0	64	0	0	0	0	0	18	51	21	51	0	0	0	191	1000
0	1	0	-1	-1	153	3	2	18	19	117	0	0	0	0	0	36	59	40	0	800	0	0	291	2000
0	1	0	-1	-1	406	2	0	8	39	360	0	0	0	0	0	15	12	18	9	0	0	0	767	0
0	1	0	-1	-1	28	1	1	19	5	5	0	0	0	0	0	35	45	51	42	0	0	0	414	1000
0	1	0	-1	-1	309	6	2	68	144	98	0	0	0	0	0	18	23	41	14	2400	90	0	1388	2000
0	1	0	-1	-1	378	2	0	5	9	365	0	0	0	0	0	9	29	11	28	0	5	0	844	0
0	1	0	-1	-1	665	3	0	37	116	513	0	0	0	0	0	23	59	36	0	1200	0	0	1199	0
0	1	0	-1	-1	39	3	1	6	6	28	0	0	0	0	0	38	47	41	45	0	0	0	188	1000
0	1	0	-1	-1	362	0	0	7	9	347	0	0	0	0	0	55	34	58	33	0	0	0	850	0
0	1	0	-1	-1	49	1	1	16	27	7	0	0	0	0	0	21	52	29	50	0	5	0	377	1000
0	1	0	-1	-1	663	2	0	34	79	551	0	0	0	0	0	4	9	19	2	1200	5	0	1215	0
0	1	0	-1	-1	303	6	2	22	83	199	0	0	0	0	0	12	7	20	4	1600	0	0	503	2000
0	1	0	-1	-1	163	1	1	7	35	122	0	0	0	0	0	20	53	24	52	0	20	0	426	1000
0	1	0	-1	-1	29	4	1	10	11	9	0	0	0	0	0	19	59	24	0	0	0	0	39	1000
0	1	0	-1	-1	21	1	1	8	13	1	0	0	0	0	0	58	33	59	2	0	0	0	83	1000
0	1	0	-1	-1	904	5	2	97	164	644	0	0	0	0	0	5	59	35	0	6400	20	0	2249	2000
0	1	0	-1	-1	11	2	1	6	4	2	0	0	0	0	0	50	40	55	39	0	0	0	134	1000
0	1	0	-1	-1	44	3	1	27	7	11	0	0	0	0	0	12	46	24	41	200	25	0	596	1000
0	1	0	-1	-1	281	3	1	2	30	250	0	0	0	0	0	48	12	50	12	0	5	0	532	1000
0	1	0	-1	-1	63	1	1	5	3	56	0	0	0	0	0	29	48	31	45	200	0	0	220	1000
0	1	0	-1	-1	174	2	1	2	58	115	0	0	0	0	0	50	12	50	11	0	0	0	290	1000
0	1	0	-1	-1	419	2	1	18	72	330	0	0	0	0	0	17	10	25	4	1000	5	0	750	1000
0	1	0	-1	-1	476	3	0	104	146	227	0	0	0	0	0	0	47	58	14	1800	220	0	2664	0
0	1	0	-1	-1	107	4	2	39	44	25	0	0	0	0	0	41	59	55	0	1000	0	0	313	2000
0	1	0	-1	-1	848	4	3	87	188	574	0	0	0	0	0	24	23	59	13	5200	1090	0	1983	3000
0	1	0	-1	-1	142	1	0	53	51	39	0	0	0	0	0	34	35	52	25	200	35	0	1242	0
0	1	0	-1	-1	23	2	1	7	3	14	0	0	0	0	0	0	53	5	23	0	0	0	178	1000
0	1	0	-1	-1	85	3	1	9	22	55	0	0	0	0	0	0	44	2	9	200	0	0	201	1000
0	1	0	-1	-1	937	3	0	107	253	578	0	0	0	0	0	13	59	54	0	2000	4575	0	3596	0
0	1	0	-1	-1	119	2	1	7	2	111	0	0	0	0	0	54	9	56	4	0	0	0	231	1000
0	1	0	-1	-1	221	3	1	32	177	13	0	0	0	0	0	2	45	26	42	800	85	0	875	1000
0	1	0	-1	-1	25	2	1	8	11	7	0	0	0	0	0	35	42	41	41	0	0	0	193	1000
0	1	0	-1	-1	370	0	0	6	22	343	0	0	0	0	0	12	38	14	34	0	0	0	834	0
0	1	0	-1	-1	171	1	1	5	8	159	0	0	0	0	0	51	12	55	11	0	0	0	331	1000
0	1	0	-1	-1	27	1	1	15	4	9	0	0	0	0	0	9	48	20	44	0	0	0	337	1000
0	1	0	-1	-1	64	1	1	4	3	58	0	0	0	0	0	45	57	47	56	0	0	0	203	1000
0	1	0	-1	-1	290	2	0	22	41	228	0	0	0	0	0	2	48	11	41	0	30	0	959	0
0	1	0	-1	-1	653	6	0	66	95	493	0	0	0	0	0	40	26	58	8	2000	70	0	2147	0
0	1	0	-1	-1	338	1	0	24	43	272	0	0	0	0	0	3	27	10	18	200	25	0	1091	0
