Agent Number	Agent Type	Birth	Parent1	Parent2	Death	Children	Sexual Pregnancies	Steps	Turns	Agent Bumps	Rock Bumps	PD Reward	PD Temptation	PD Sucker	PD Punishment	boundNorth	boundEast	boundSouth	boundWest	Energy Gained My Food	Energy Gained Other Food	Energy Gained Agents	Energy Lost Movement	Energy Lost Reproduction
0	1	0	-1	-1	31	2	1	8	5	19	0	0	0	0	0	44	20	50	18	200	0	0	211	1000
0	1	0	-1	-1	12	2	1	3	6	4	0	0	0	0	0	29	11	30	9	0	0	0	17	1000
0	1	0	-1	-1	42	1	1	16	16	11	0	0	0	0	0	48	36	49	21	0	0	0	374	1000
0	1	0	-1	-1	28	1	1	11	13	5	0	0	0	0	0	48	44	49	35	0	0	0	254	1000
0	1	0	-1	-1	17	1	1	3	12	3	0	0	0	0	0	19	52	20	50	0	0	0	81	1000
0	1	0	-1	-1	50	4	1	26	14	11	0	0	0	0	0	12	59	14	0	0	10	0	382	1000
0	1	0	-1	-1	11	2	1	2	7	3	0	0	0	0	0	57	27	58	26	0	0	0	55	1000
0	1	0	-1	-1	12	2	1	6	4	3	0	0	0	0	0	13	29	13	23	0	0	0	136	1000
0	1	0	-1	-1	24	3	1	10	13	2	0	0	0	0	0	6	22	10	18	0	10	0	227	1000
0	1	0	-1	-1	52	5	1	10	22	21	0	0	0	0	0	32	37	34	31	0	5	0	274	1000
0	1	0	-1	-1	14	1	1	1	10	4	0	0	0	0	0	27	8	28	8	0	0	0	19	1000
0	1	0	-1	-1	30	1	1	4	4	23	0	0	0	0	0	22	12	23	10	0	0	0	54	1000
0	1	0	-1	-1	227	1	0	42	66	120	0	0	0	0	0	13	39	23	30	200	5	0	1188	0
0	1	0	-1	-1	13	1	1	6	5	3	0	0	0	0	0	34	18	35	13	0	0	0	37	1000
0	1	0	-1	-1	497	4	0	66	201	231	0	0	0	0	0	27	59	42	0	600	25	0	1229	0
0	1	0	-1	-1	17	2	1	12	2	4	0	0	0	0	0	53	37	54	28	0	0	0	262	1000
0	1	0	-1	-1	11	2	1	7	4	1	0	0	0	0	0	10	18	10	11	0	0	0	33	1000
0	1	0	-1	-1	13	1	1	4	5	5	0	0	0	0	0	28	13	30	11	0	0	0	19	1000
0	1	0	-1	-1	40	2	1	18	13	10	0	0	0	0	0	45	53	47	41	0	5	0	411	1000
0	1	0	-1	-1	32	2	2	8	11	14	0	0	0	0	0	15	39	17	37	800	5	0	207	2000
0	1	0	-1	-1	30	3	1	10	14	7	0	0	0	0	0	16	8	17	0	0	0	0	38	1000
0	1	0	-1	-1	13	2	1	1	4	9	0	0	0	0	0	39	47	40	47	0	0	0	43	1000
0	1	0	-1	-1	42	1	1	8	18	17	0	0	0	0	0	29	50	31	48	0	10	0	220	1000
0	1	0	-1	-1	53	1	1	21	18	15	0	0	0	0	0	3	59	7	0	0	5	0	429	1000
0	1	0	-1	-1	273	4	2	67	116	91	0	0	0	0	0	50	26	58	11	2200	40	0	1185	2000
0	1	0	-1	-1	707	8	0	121	247	340	0	0	0	0	0	42	28	57	8	2600	80	0	2468	0
0	1	0	-1	-1	1000	9	3	162	361	477	0	0	0	0	0	2	59	39	0	16200	80	0	1597	3000
0	1	0	-1	-1	38	4	1	16	20	3	0	0	0	0	0	39	59	41	0	0	0	0	162	1000
0	1	0	-1	-1	186	2	1	13	15	159	0	0	0	0	0	6	59	8	0	0	0	0	446	1000
0	1	0	-1	-1	177	4	0	46	93	39	0	0	0	0	0	43	41	46	13	0	35	0	1057	0
0	1	0	-1	-1	22	2	1	6	13	4	0	0	0	0	0	14	4	17	2	0	5	0	27	1000
0	1	0	-1	-1	12	4	1	1	9	3	0	0	0	0	0	45	13	46	13	0	0	0	16	1000
0	1	0	-1	-1	395	4	0	58	130	208	0	0	0	0	0	47	55	59	2	800	55	0	1644	0
0	1	0	-1	-1	938	4	1	208	416	315	0	0	0	0	0	0	59	40	0	8400	490	0	4894	1000
0	1	0	-1	-1	21	2	1	3	13	6	0	0	0	0	0	37	41	39	40	0	0	0	88	1000
0	1	0	-1	-1	982	6	3	182	308	493	0	0	0	0	0	29	25	58	11	10800	130	0	2616	3000
0	1	0	-1	-1	41	1	1	18	20	4	0	0	0	0	0	35	40	37	27	0	5	0	406	1000
0	1	0	-1	-1	14	2	1	2	6	7	0	0	0	0	0	39	34	40	33	0	0	0	62	1000
0	1	0	-1	-1	16	1	1	6	7	4	0	0	0	0	0	36	27	36	21	0	0	0	141	1000
0	1	0	-1	-1	25	2	1	14	10	2	0	0	0	0	0	7	45	8	32	0	0	0	308	1000
0	1	0	-1	-1	23	1	1	1	11	12	0	0	0	0	0	22	1	22	0	0	0	0	36	1000
0	1	0	-1	-1	21	4	1	3	13	6	0	0	0	0	0	55	6	56	5	0	0	0	28	1000
0	1	0	-1	-1	13	3	1	4	8	2	0	0	0	0	0	21	58	22	57	0	0	0	96	1000
0	1	0	-1	-1	253	2	0	89	120	45	0	0	0	0	0	0	57	24	13	800	155	0	1919	0
0	1	0	-1	-1	47	2	1	23	22	3	0	0	0	0	0	23	27	26	12	400	5	0	411	1000
0	1	0	-1	-1	22	2	1	9	7	7	0	0	0	0	0	28	27	35	25	0	0	0	210	1000
0	1	0	-1	-1	11	3	1	2	5	5	0	0	0	0	0	29	10	29	8	0	0	0	17	1000
0	1	0	-1	-1	15	1	1	7	6	3	0	0	0	0	0	12	26	13	24	0	0	0	159	1000
0	1	0	-1	-1	43	1	1	23	17	4	0	0	0	0	0	23	25	26	6	200	20	0	228	1000
0	1	0	-1	-1	24	2	1	9	7	9	0	0	0	0	0	29	47	30	41	0	0	0	214	1000
0	1	0	-1	-1	212	0	0	34	34	145	0	0	0	0	0	48	49	58	37	0	45	0	1038	0
0	1	0	-1	-1	21	2	1	11	10	1	0	0	0	0	0	13	54	17	47	0	5	0	243	1000
0	1	0	-1	-1	85	3	1	35	39	12	0	0	0	0	0	15	59	24	0	400	35	0	438	1000
0	1	0	-1	-1	37	5	1	18	13	7	0	0	0	0	0	54	59	55	0	0	0	0	265	1000
0	1	0	-1	-1	39	3	1	11	14	15	0	0	0	0	0	28	38	31	31	0	0	0	275	1000
0	1	0	-1	-1	18	1	1	5	12	2	0	0	0	0	0	44	42	48	41	0	0	0	121	1000
0	1	0	-1	-1	29	2	1	1	12	17	0	0	0	0	0	5	51	6	51	0	0	0	67	1000
0	1	0	-1	-1	33	3	1	3	8	23	0	0	0	0	0	21	59	21	0	0	0	0	77	1000
0	1	0	-1	-1	33	3	1	4	22	8	0	0	0	0	0	37	43	38	40	0	0	0	122	1000
0	1	0	-1	-1	45	2	1	8	33	5	0	0	0	0	0	58	34	59	0	0	0	0	71	1000
0	1	0	-1	-1	31	3	1	5	7	20	0	0	0	0	0	39	43	40	39	0	0	0	152	1000
0	1	0	-1	-1	962	9	2	147	372	444	0	0	0	0	0	37	23	58	8	8200	100	0	2487	2000
0	1	0	-1	-1	25	2	1	9	16	1	0	0	0	0	0	36	40	38	36	0	20	0	207	1000
0	1	0	-1	-1	20	2	1	10	10	1	0	0	0	0	0	45	54	46	45	0	5	0	222	1000
0	1	0	-1	-1	11	1	1	1	4	7	0	0	0	0	0	8	45	9	45	0	0	0	39	1000
0	1	0	-1	-1	967	9	1	129	321	518	0	0	0	0	0	36	59	58	0	7200	80	0	2166	1000
0	1	0	-1	-1	12	2	1	4	5	4	0	0	0	0	0	4	38	4	34	0	0	0	97	1000
0	1	0	-1	-1	15	2	1	6	9	1	0	0	0	0	0	14	24	17	23	0	0	0	137	1000
0	1	0	-1	-1	577	7	0	87	165	326	0	0	0	0	0	28	59	40	0	1600	60	0	2024	0
0	1	0	-1	-1	54	3	1	16	29	10	0	0	0	0	0	51	38	59	34	0	0	0	385	1000
0	1	0	-1	-1	11	1	1	3	6	3	0	0	0	0	0	17	3	18	1	0	0	0	15	1000
0	1	0	-1	-1	10	2	1	3	4	4	0	0	0	0	0	48	55	49	53	0	0	0	75	1000
0	1	0	-1	-1	12	2	1	8	4	1	0	0	0	0	0	50	54	50	49	0	0	0	174	1000
0	1	0	-1	-1	25	3	1	5	5	16	0	0	0	0	0	22	42	24	40	0	0	0	142	1000
0	1	0	-1	-1	39	2	1	22	15	3	0	0	0	0	0	5	59	7	0	200	0	0	323	1000
0	1	0	-1	-1	41	4	1	9	21	12	0	0	0	0	0	38	52	41	49	0	0	0	234	1000
