Agent Number	Agent Type	Birth	Parent1	Parent2	Death	Children	Sexual Pregnancies	Steps	Turns	Agent Bumps	Rock Bumps	PD Reward	PD Temptation	PD Sucker	PD Punishment	boundNorth	boundEast	boundSouth	boundWest	Energy Gained My Food	Energy Gained Other Food	Energy Gained Agents	Energy Lost Movement	Energy Lost Reproduction
0	1	0	-1	-1	372	1	0	26	145	202	0	0	0	0	0	36	29	41	27	200	40	0	1095	0
0	1	0	-1	-1	54	2	1	6	4	45	0	0	0	0	0	50	17	55	16	0	0	0	100	1000
0	1	0	-1	-1	53	2	1	18	18	18	0	0	0	0	0	40	46	45	41	0	15	0	432	1000
0	1	0	-1	-1	88	1	1	7	9	73	0	0	0	0	0	37	37	39	34	0	0	0	302	1000
0	1	0	-1	-1	126	5	1	2	94	31	0	0	0	0	0	38	50	40	50	0	5	0	198	1000
0	1	0	-1	-1	355	2	0	10	53	293	0	0	0	0	0	38	31	42	25	0	0	0	849	0
0	1	0	-1	-1	949	7	2	109	126	715	0	0	0	0	0	28	15	56	9	7000	5	0	1665	2000
0	1	0	-1	-1	19	1	1	2	5	13	0	0	0	0	0	46	37	48	37	0	0	0	73	1000
0	1	0	-1	-1	19	3	1	6	4	10	0	0	0	0	0	38	2	41	2	0	0	0	30	1000
0	1	0	-1	-1	671	3	0	72	193	407	0	0	0	0	0	48	40	59	6	2200	45	0	2219	0
0	1	0	-1	-1	293	4	0	72	45	177	0	0	0	0	0	0	47	50	13	600	220	0	1731	0
0	1	0	-1	-1	571	3	0	77	206	289	0	0	0	0	0	33	59	59	0	1600	135	0	2101	0
0	1	0	-1	-1	60	1	1	21	37	3	0	0	0	0	0	42	30	56	26	0	0	0	484	1000
0	1	0	-1	-1	34	1	1	4	6	25	0	0	0	0	0	0	4	1	1	0	0	0	60	1000
0	1	0	-1	-1	92	3	1	2	10	81	0	0	0	0	0	36	33	38	33	0	0	0	214	1000
0	1	0	-1	-1	33	2	1	11	15	8	0	0	0	0	0	53	19	58	15	0	0	0	202	1000
0	1	0	-1	-1	232	3	1	7	8	218	0	0	0	0	0	22	52	23	49	0	5	0	591	1000
0	1	0	-1	-1	14	1	1	9	5	1	0	0	0	0	0	38	59	44	0	0	0	0	96	1000
0	1	0	-1	-1	33	2	1	6	8	20	0	0	0	0	0	48	42	53	41	0	0	0	174	1000
0	1	0	-1	-1	371	1	0	21	50	301	0	0	0	0	0	33	30	36	26	200	45	0	1093	0
0	1	0	-1	-1	359	2	1	1	1	358	0	0	0	0	0	54	49	55	49	0	0	0	738	1000
0	1	0	-1	-1	24	1	1	6	7	12	0	0	0	0	0	52	23	56	21	0	0	0	157	1000
0	1	0	-1	-1	27	3	1	10	12	6	0	0	0	0	0	50	31	56	30	0	0	0	234	1000
0	1	0	-1	-1	862	4	1	70	124	669	0	0	0	0	0	6	23	39	14	4200	10	0	1712	1000
0	1	0	-1	-1	348	1	0	78	72	199	0	0	0	0	0	0	34	32	0	800	180	0	1848	0
0	1	0	-1	-1	23	1	1	12	10	2	0	0	0	0	0	12	50	17	44	0	5	0	266	1000
0	1	0	-1	-1	283	2	1	15	9	260	0	0	0	0	0	18	53	29	50	0	0	0	844	1000
0	1	0	-1	-1	267	0	0	23	25	220	0	0	0	0	0	36	37	56	35	0	10	0	948	0
0	1	0	-1	-1	22	1	1	7	14	2	0	0	0	0	0	6	52	8	49	0	0	0	165	1000
0	1	0	-1	-1	39	3	1	4	30	6	0	0	0	0	0	4	21	5	18	0	0	0	126	1000
0	1	0	-1	-1	15	1	1	4	4	8	0	0	0	0	0	52	24	53	22	0	0	0	104	1000
0	1	0	-1	-1	84	3	1	4	6	75	0	0	0	0	0	9	35	9	32	0	0	0	240	1000
0	1	0	-1	-1	20	1	1	5	0	16	0	0	0	0	0	38	40	43	40	0	0	0	137	1000
0	1	0	-1	-1	177	3	1	19	9	150	0	0	0	0	0	5	10	15	3	200	0	0	328	1000
0	1	0	-1	-1	61	1	1	13	11	38	0	0	0	0	0	45	58	47	47	0	0	0	360	1000
0	1	0	-1	-1	103	4	1	15	26	63	0	0	0	0	0	7	29	10	23	200	5	0	467	1000
0	1	0	-1	-1	676	3	0	25	181	471	0	0	0	0	0	9	12	21	8	1200	0	0	1148	0
0	1	0	-1	-1	46	1	1	8	4	35	0	0	0	0	0	41	29	47	29	0	0	0	242	1000
0	1	0	-1	-1	355	1	1	1	37	318	0	0	0	0	0	37	31	38	31	0	0	0	694	1000
0	1	0	-1	-1	36	1	1	20	12	5	0	0	0	0	0	43	59	59	28	200	0	0	442	1000
0	1	0	-1	-1	332	1	0	26	54	253	0	0	0	0	0	2	25	8	21	200	30	0	1106	0
0	1	0	-1	-1	240	2	1	4	53	184	0	0	0	0	0	35	10	37	9	0	0	0	425	1000
0	1	0	-1	-1	340	2	1	5	4	332	0	0	0	0	0	37	27	41	26	200	0	0	773	1000
0	1	0	-1	-1	911	2	0	68	136	708	0	0	0	0	0	0	50	32	17	2800	2215	0	2760	0
0	1	0	-1	-1	134	3	2	18	101	16	0	0	0	0	0	48	11	55	6	600	0	0	151	2000
0	1	0	-1	-1	398	4	1	2	115	282	0	0	0	0	0	11	10	12	9	200	0	0	681	1000
0	1	0	-1	-1	30	3	1	5	9	17	0	0	0	0	0	11	48	12	45	0	0	0	148	1000
0	1	0	-1	-1	58	2	1	8	25	26	0	0	0	0	0	5	19	7	15	200	0	0	205	1000
0	1	0	-1	-1	418	0	0	63	163	193	0	0	0	0	0	36	27	56	7	600	130	0	1472	0
0	1	0	-1	-1	372	4	0	55	71	247	0	0	0	0	0	44	48	59	15	800	65	0	1700	0
0	1	0	-1	-1	28	1	1	7	12	10	0	0	0	0	0	56	33	59	2	0	5	0	159	1000
0	1	0	-1	-1	23	2	1	4	4	16	0	0	0	0	0	33	22	36	22	0	0	0	120	1000
0	1	0	-1	-1	31	1	1	20	10	2	0	0	0	0	0	26	42	32	28	200	0	0	434	1000
0	1	0	-1	-1	23	2	1	12	11	1	0	0	0	0	0	23	48	25	41	0	10	0	265	1000
0	1	0	-1	-1	14	2	1	4	7	4	0	0	0	0	0	35	13	37	12	0	0	0	19	1000
0	1	0	-1	-1	10	1	1	4	1	6	0	0	0	0	0	22	56	24	54	0	0	0	97	1000
0	1	0	-1	-1	47	1	1	12	29	7	0	0	0	0	0	7	40	12	38	0	0	0	295	1000
0	1	0	-1	-1	13	2	1	3	2	9	0	0	0	0	0	0	52	1	22	0	0	0	83	1000
0	1	0	-1	-1	755	3	1	67	195	494	0	0	0	0	0	0	19	17	11	2200	805	0	1490	1000
0	1	0	-1	-1	69	6	2	29	33	8	0	0	0	0	0	14	16	27	13	400	5	0	78	2000
0	1	0	-1	-1	51	2	1	22	13	17	0	0	0	0	0	42	25	54	24	200	30	0	509	1000
0	1	0	-1	-1	622	3	0	52	119	452	0	0	0	0	0	53	59	59	1	1600	55	0	1835	0
0	1	0	-1	-1	509	4	1	19	49	442	0	0	0	0	0	18	12	27	9	1400	0	0	952	1000
0	1	0	-1	-1	31	2	1	14	15	3	0	0	0	0	0	20	46	27	40	0	0	0	315	1000
0	1	0	-1	-1	24	1	1	6	4	15	0	0	0	0	0	31	19	34	17	0	0	0	160	1000
0	1	0	-1	-1	399	0	0	23	46	331	0	0	0	0	0	35	37	40	34	400	0	0	1191	0
0	1	0	-1	-1	71	1	1	25	43	4	0	0	0	0	0	22	36	32	34	0	40	0	576	1000
0	1	0	-1	-1	392	2	1	10	273	110	0	0	0	0	0	43	15	50	13	400	0	0	503	1000
0	1	0	-1	-1	255	3	1	6	2	248	0	0	0	0	0	57	36	58	31	0	0	0	624	1000
0	1	0	-1	-1	10	1	1	7	1	3	0	0	0	0	0	50	41	57	41	0	0	0	154	1000
0	1	0	-1	-1	175	2	1	5	139	32	0	0	0	0	0	51	48	54	46	200	5	0	308	1000
0	1	0	-1	-1	311	2	1	11	43	258	0	0	0	0	0	39	30	48	29	200	5	0	790	1000
0	1	0	-1	-1	28	1	1	2	1	26	0	0	0	0	0	37	8	38	7	0	0	0	55	1000
0	1	0	-1	-1	25	1	1	6	11	9	0	0	0	0	0	55	9	55	5	0	5	0	35	1000
0	1	0	-1	-1	19	2	1	3	4	13	0	0	0	0	0	49	35	51	35	0	0	0	93	1000
0	1	0	-1	-1	290	3	1	7	31	253	0	0	0	0	0	47	44	50	42	0	0	0	684	1000
0	1	0	-1	-1	396	1	0	18	40	339	0	0	0	0	0	48	20	57	16	200	10	0	996	0
0	1	0	-1	-1	380	1	0	5	39	337	0	0	0	0	0	13	34	16	33	0	0	0	818	0
0	1	0	-1	-1	26	2	1	12	10	5	0	0	0	0	0	21	28	22	18	0	0	0	272	1000
0	1	0	-1	-1	311	1	0	18	24	270	0	0	0	0	0	28	24	33	19	0	35	0	942	0
0	1	0	-1	-1	993	7	3	134	186	674	0	0	0	0	0	0	58	40	0	2800	11410	0	4188	3000
0	1	0	-1	-1	63	2	1	8	19	37	0	0	0	0	0	19	45	20	43	0	5	0	261	1000
0	1	0	-1	-1	236	1	0	33	73	131	0	0	0	0	0	25	39	37	33	0	55	0	1028	0
0	1	0	-1	-1	863	3	1	60	158	646	0	0	0	0	0	27	15	49	5	3800	225	0	1510	1000
0	1	0	-1	-1	477	1	0	33	38	407	0	0	0	0	0	20	59	26	0	400	0	0	1025	0
0	1	0	-1	-1	353	3	1	3	7	344	0	0	0	0	0	36	26	38	26	200	5	0	758	1000
0	1	0	-1	-1	36	1	1	10	21	6	0	0	0	0	0	38	46	42	44	0	40	0	243	1000
0	1	0	-1	-1	66	1	1	2	63	2	0	0	0	0	0	31	36	32	35	0	0	0	109	1000
0	1	0	-1	-1	279	1	1	18	30	232	0	0	0	0	0	40	32	50	29	0	5	0	872	1000
0	1	0	-1	-1	451	2	0	76	96	280	0	0	0	0	0	33	54	59	16	1400	125	0	2212	0
0	1	0	-1	-1	65	3	1	16	9	41	0	0	0	0	0	11	37	17	30	200	0	0	427	1000
0	1	0	-1	-1	35	1	1	13	18	5	0	0	0	0	0	11	17	16	12	0	0	0	41	1000
0	1	0	-1	-1	671	7	2	63	96	513	0	0	0	0	0	11	9	37	0	3200	10	0	1185	2000
0	1	0	-1	-1	366	1	1	2	11	354	0	0	0	0	0	34	26	35	25	0	0	0	761	1000
0	1	0	-1	-1	21	2	1	8	11	3	0	0	0	0	0	0	39	4	9	0	20	0	85	1000
0	1	0	-1	-1	118	1	1	34	46	39	0	0	0	0	0	0	41	7	7	600	25	0	638	1000
0	1	0	-1	-1	21	1	1	5	10	7	0	0	0	0	0	9	31	12	30	0	0	0	129	1000
0	1	0	-1	-1	269	1	1	11	12	247	0	0	0	0	0	24	54	31	51	0	0	0	737	1000
0	1	0	-1	-1	911	3	1	61	77	774	0	0	0	0	0	8	18	42	10	4600	600	0	1866	1000
0	1	0	-1	-1	31	1	1	6	11	15	0	0	0	0	0	26	23	31	23	0	10	0	167	1000
0	1	0	-1	-1	15	1	1	6	6	4	0	0	0	0	0	5	15	9	14	0	0	0	20	1000
0	1	0	-1	-1	31	2	1	3	10	19	0	0	0	0	0	54	10	56	9	0	0	0	51	1000
0	1	0	-1	-1	30	2	1	22	7	2	0	0	0	0	0	12	59	20	0	0	0	0	153	1000
0	1	0	-1	-1	27	3	1	16	7	5	0	0	0	0	0	16	59	27	0	0	0	0	93	1000
0	1	0	-1	-1	107	3	1	12	76	20	0	0	0	0	0	7	34	11	31	0	5	0	368	1000
0	1	0	-1	-1	53	1	1	6	45	3	0	0	0	0	0	16	54	21	53	0	0	0	177	1000
0	1	0	-1	-1	91	1	1	24	51	17	0	0	0	0	0	4	26	14	20	200	0	0	589	1000
0	1	0	-1	-1	361	3	1	3	28	331	0	0	0	0	0	18	19	20	18	0	0	0	753	1000
0	1	0	-1	-1	20	1	1	9	9	3	0	0	0	0	0	7	2	15	2	0	0	0	24	1000
0	1	0	-1	-1	98	4	1	4	73	22	0	0	0	0	0	36	11	39	10	0	0	0	121	1000
0	1	0	-1	-1	36	3	1	3	4	30	0	0	0	0	0	54	9	56	9	0	0	0	67	1000
0	1	0	-1	-1	62	2	1	5	56	2	0	0	0	0	0	6	47	8	46	0	10	0	165	1000
0	1	0	-1	-1	335	4	1	4	44	288	0	0	0	0	0	8	23	11	22	400	0	0	704	1000
0	1	0	-1	-1	181	3	1	1	5	176	0	0	0	0	0	51	27	51	26	0	5	0	378	1000
0	1	0	-1	-1	16	1	1	6	3	8	0	0	0	0	0	29	27	35	27	0	0	0	145	1000
0	1	0	-1	-1	941	2	0	99	151	692	0	0	0	0	0	28	48	59	14	3600	3080	0	3574	0
0	1	0	-1	-1	316	0	0	17	30	270	0	0	0	0	0	15	58	21	55	0	30	0	927	0
0	1	0	-1	-1	16	2	1	10	5	2	0	0	0	0	0	8	54	13	51	0	0	0	219	1000
0	1	0	-1	-1	528	1	0	42	91	396	0	0	0	0	0	35	27	59	21	1200	70	0	1765	0
0	1	0	-1	-1	12	1	1	5	2	6	0	0	0	0	0	0	53	3	23	0	0	0	119	1000
0	1	0	-1	-1	112	2	1	7	5	101	0	0	0	0	0	44	10	47	8	200	0	0	214	1000
0	1	0	-1	-1	82	2	2	21	32	30	0	0	0	0	0	24	8	30	2	600	0	0	113	2000
0	1	0	-1	-1	391	0	0	63	114	215	0	0	0	0	0	10	42	40	34	1000	50	0	1867	0
0	1	0	-1	-1	16	1	1	9	5	3	0	0	0	0	0	0	53	3	21	0	5	0	200	1000
0	1	0	-1	-1	833	5	2	57	92	685	0	0	0	0	0	32	19	58	8	4200	600	0	1619	2000
0	1	0	-1	-1	27	3	1	9	7	12	0	0	0	0	0	21	49	24	45	0	0	0	220	1000
0	1	0	-1	-1	34	2	1	9	6	20	0	0	0	0	0	38	30	42	28	0	0	0	235	1000
0	1	0	-1	-1	96	1	1	3	6	88	0	0	0	0	0	59	36	59	6	200	0	0	225	1000
0	1	0	-1	-1	12	1	1	6	4	3	0	0	0	0	0	24	22	28	20	0	0	0	136	1000
0	1	0	-1	-1	371	0	0	6	23	343	0	0	0	0	0	2	43	8	43	0	0	0	835	0
0	1	0	-1	-1	453	9	2	95	213	146	0	0	0	0	0	50	59	59	0	3000	115	0	1800	2000
0	1	0	-1	-1	322	1	0	39	57	227	0	0	0	0	0	0	43	6	3	200	40	0	1130	0
0	1	0	-1	-1	70	5	2	14	47	10	0	0	0	0	0	55	43	59	11	1200	20	0	221	2000
0	1	0	-1	-1	54	3	1	13	12	30	0	0	0	0	0	12	57	18	55	200	20	0	345	1000
0	1	0	-1	-1	31	2	1	8	21	3	0	0	0	0	0	8	22	11	20	0	0	0	195	1000
0	1	0	-1	-1	362	0	0	8	31	324	0	0	0	0	0	12	33	15	32	0	5	0	847	0
0	1	0	-1	-1	40	2	1	23	11	7	0	0	0	0	0	24	59	29	0	200	0	0	468	1000
0	1	0	-1	-1	317	3	0	16	39	263	0	0	0	0	0	0	52	4	20	0	0	0	901	0
0	1	0	-1	-1	88	3	2	14	33	42	0	0	0	0	0	48	31	50	23	1400	10	0	411	2000
0	1	0	-1	-1	427	1	0	67	110	251	0	0	0	0	0	42	32	55	22	1200	95	0	2019	0
0	1	0	-1	-1	37	2	1	15	19	4	0	0	0	0	0	12	23	22	22	0	0	0	342	1000
0	1	0	-1	-1	202	2	0	49	96	58	0	0	0	0	0	18	31	26	24	200	40	0	1241	0
0	1	0	-1	-1	27	4	1	13	13	2	0	0	0	0	0	28	58	39	56	0	15	0	290	1000
0	1	0	-1	-1	520	5	1	35	82	404	0	0	0	0	0	49	14	59	11	1400	5	0	925	1000
0	1	0	-1	-1	63	1	1	22	41	1	0	0	0	0	0	29	52	36	41	0	15	0	505	1000
0	1	0	-1	-1	851	0	0	110	189	553	0	0	0	0	0	12	24	50	3	3000	880	0	2505	0
0	1	0	-1	-1	402	1	0	43	172	188	0	0	0	0	0	40	30	53	24	600	60	0	1451	0
0	1	0	-1	-1	40	2	1	23	16	2	0	0	0	0	0	21	56	34	53	0	0	0	503	1000
0	1	0	-1	-1	45	2	1	4	6	36	0	0	0	0	0	3	54	4	52	0	0	0	162	1000
0	1	0	-1	-1	854	2	0	86	295	474	0	0	0	0	0	18	49	38	30	3200	1260	0	3049	0
0	1	0	-1	-1	21	2	1	1	3	18	0	0	0	0	0	52	45	53	45	0	0	0	60	1000
0	1	0	-1	-1	15	1	1	5	9	2	0	0	0	0	0	48	40	51	39	0	0	0	118	1000
0	1	0	-1	-1	779	2	0	57	112	611	0	0	0	0	0	49	47	59	15	2600	20	0	1991	0
0	1	0	-1	-1	186	1	1	10	51	126	0	0	0	0	0	53	28	57	25	0	0	0	513	1000
0	1	0	-1	-1	111	2	1	31	74	7	0	0	0	0	0	42	58	48	44	600	25	0	739	1000
0	1	0	-1	-1	85	4	2	31	48	7	0	0	0	0	0	16	19	21	8	600	0	0	153	2000
0	1	0	-1	-1	12	2	1	3	6	4	0	0	0	0	0	15	54	18	54	0	0	0	77	1000
0	1	0	-1	-1	736	5	1	51	107	579	0	0	0	0	0	15	19	33	12	1600	1605	0	1816	1000
0	1	0	-1	-1	37	3	2	9	20	9	0	0	0	0	0	35	59	40	0	200	10	0	67	2000
0	1	0	-1	-1	167	5	1	6	20	142	0	0	0	0	0	5	12	6	9	0	0	0	310	1000
0	1	0	-1	-1	22	3	1	12	8	3	0	0	0	0	0	23	42	30	37	0	0	0	266	1000
0	1	0	-1	-1	19	1	1	8	11	1	0	0	0	0	0	13	30	20	29	0	0	0	181	1000
0	1	0	-1	-1	18	3	1	2	5	12	0	0	0	0	0	53	45	54	45	0	0	0	71	1000
0	1	0	-1	-1	147	1	0	46	55	47	0	0	0	0	0	41	27	49	16	0	90	0	1095	0
